NAID,Box #,SHIP NAME,Month,Year,Actual File Name,Link to NAC,Hyperlink,,
7518595,3,Abbot (DD-629),October,1963,abbot-dd-629-1963-10,http://research.archives.gov/description/7518595,abbot-dd-629-1963-10,,
7518596,3,Abbot (DD-629),November,1963,abbot-dd-629-1963-11,http://research.archives.gov/description/7518596,abbot-dd-629-1963-11,,
7518597,3,Abbot (DD-629),December,1963,abbot-dd-629-1963-12,http://research.archives.gov/description/7518597,abbot-dd-629-1963-12,,
7518598,4,Abbot (DD-629),January,1964,abbot-dd-629-1964-01,http://research.archives.gov/description/7518598,abbot-dd-629-1964-01,,
7518599,4,Abbot (DD-629),February,1964,abbot-dd-629-1964-02,http://research.archives.gov/description/7518599,abbot-dd-629-1964-02,,
7518600,4,Abbot (DD-629),March,1964,abbot-dd-629-1964-03,http://research.archives.gov/description/7518600,abbot-dd-629-1964-03,,
7518601,4,Abbot (DD-629),April,1964,abbot-dd-629-1964-04,http://research.archives.gov/description/7518601,abbot-dd-629-1964-04,,
17271633,4,Abbot (DD-629),May,1964,abbot-dd-629-1964-05,http://catalog.archives.gov/id/17271633,abbot-dd-629-1964-05,,
7518602,4,Abbot (DD-629),June,1964,abbot-dd-629-1964-06,http://research.archives.gov/description/7518602,abbot-dd-629-1964-06,,
17271707,4,Abbot (DD-629),July,1964,abbot-dd-629-1964-07,http://catalog.archives.gov/id/17271707,abbot-dd-629-1964-07,,
7518603,4,Abbot (DD-629),August,1964,abbot-dd-629-1964-08,http://research.archives.gov/description/7518603,abbot-dd-629-1964-08,,
7518604,4,Abbot (DD-629),September,1964,abbot-dd-629-1964-09,http://research.archives.gov/description/7518604,abbot-dd-629-1964-09,,
7518605,4,Abbot (DD-629),October,1964,abbot-dd-629-1964-10,http://research.archives.gov/description/7518605,abbot-dd-629-1964-10,,
7518606,4,Abbot (DD-629),November,1964,abbot-dd-629-1964-11,http://research.archives.gov/description/7518606,abbot-dd-629-1964-11,,
7518607,4,Abbot (DD-629),December,1964,abbot-dd-629-1964-12,http://research.archives.gov/description/7518607,abbot-dd-629-1964-12,,
7518608,4,Abbot (DD-629),January,1965,abbot-dd-629-1965-01,http://research.archives.gov/description/7518608,abbot-dd-629-1965-01,,
17271743,4,Abbot (DD-629),February,1965,abbot-dd-629-1965-02,http://catalog.archives.gov/id/17271743,abbot-dd-629-1965-02,,
7518609,4,Abbot (DD-629),March,1965,abbot-dd-629-1965-03,http://research.archives.gov/description/7518609,abbot-dd-629-1965-03,,
7518610,5,Ability (MSO-519),January,1961,ability-mso-519-1961-01,http://research.archives.gov/description/7518610,ability-mso-519-1961-01,,
7518611,5,Ability (MSO-519),February,1961,ability-mso-519-1961-02,http://research.archives.gov/description/7518611,ability-mso-519-1961-02,,
7518613,5,Ability (MSO-519),March,1961,ability-mso-519-1961-03,http://research.archives.gov/description/7518613,ability-mso-519-1961-03,,
7518614,5,Ability (MSO-519),April,1961,ability-mso-519-1961-04,http://research.archives.gov/description/7518614,ability-mso-519-1961-04,,
7518615,5,Ability (MSO-519),May,1961,ability-mso-519-1961-05,http://research.archives.gov/description/7518615,ability-mso-519-1961-05,,
7518616,5,Ability (MSO-519),June,1961,ability-mso-519-1961-06,http://research.archives.gov/description/7518616,ability-mso-519-1961-06,,
7518617,5,Ability (MSO-519),July,1961,ability-mso-519-1961-07,http://research.archives.gov/description/7518617,ability-mso-519-1961-07,,
7518618,5,Ability (MSO-519),August,1961,ability-mso-519-1961-08,http://research.archives.gov/description/7518618,ability-mso-519-1961-08,,
7518619,5,Ability (MSO-519),September,1961,ability-mso-519-1961-09,http://research.archives.gov/description/7518619,ability-mso-519-1961-09,,
7518620,5,Ability (MSO-519),October,1961,ability-mso-519-1961-10,http://research.archives.gov/description/7518620,ability-mso-519-1961-10,,
7518621,5,Ability (MSO-519),November,1961,ability-mso-519-1961-11,http://research.archives.gov/description/7518621,ability-mso-519-1961-11,,
7518622,5,Ability (MSO-519),December,1961,ability-mso-519-1961-12,http://research.archives.gov/description/7518622,ability-mso-519-1961-12,,
7518623,5,Ability (MSO-519),January,1962,ability-mso-519-1962-01,http://research.archives.gov/description/7518623,ability-mso-519-1962-01,,
7518624,5,Ability (MSO-519),February,1962,ability-mso-519-1962-02,http://research.archives.gov/description/7518624,ability-mso-519-1962-02,,
17271808,5,Ability (MSO-519),March,1962,ability-mso-519-1962-03,http://catalog.archives.gov/id/17271808,ability-mso-519-1962-03,,
7518625,5,Ability (MSO-519),April,1962,ability-mso-519-1962-04,http://research.archives.gov/description/7518625,ability-mso-519-1962-04,,
7518626,6,Ability (MSO-519),May,1962,ability-mso-519-1962-05,http://research.archives.gov/description/7518626,ability-mso-519-1962-05,,
7518627,6,Ability (MSO-519),June,1962,ability-mso-519-1962-06,http://research.archives.gov/description/7518627,ability-mso-519-1962-06,,
7518628,6,Ability (MSO-519),July,1962,ability-mso-519-1962-07,http://research.archives.gov/description/7518628,ability-mso-519-1962-07,,
7518629,6,Ability (MSO-519),August,1962,ability-mso-519-1962-08,http://research.archives.gov/description/7518629,ability-mso-519-1962-08,,
7518630,6,Ability (MSO-519),September,1962,ability-mso-519-1962-09,http://research.archives.gov/description/7518630,ability-mso-519-1962-09,,
17271873,6,Ability (MSO-519),October,1962,ability-mso-519-1962-10,http://catalog.archives.gov/id/17271873,ability-mso-519-1962-10,,
7518631,6,Ability (MSO-519),November,1962,ability-mso-519-1962-11,http://research.archives.gov/description/7518631,ability-mso-519-1962-11,,
7518632,6,Ability (MSO-519),December,1962,ability-mso-519-1962-12,http://research.archives.gov/description/7518632,ability-mso-519-1962-12,,
7518633,6,Ability (MSO-519),January,1963,ability-mso-519-1963-01,http://research.archives.gov/description/7518633,ability-mso-519-1963-01,,
7518634,6,Ability (MSO-519),February,1963,ability-mso-519-1963-02,http://research.archives.gov/description/7518634,ability-mso-519-1963-02,,
7518635,6,Ability (MSO-519),March,1963,ability-mso-519-1963-03,http://research.archives.gov/description/7518635,ability-mso-519-1963-03,,
7518636,6,Ability (MSO-519),April,1963,ability-mso-519-1963-04,http://research.archives.gov/description/7518636,ability-mso-519-1963-04,,
7518637,6,Ability (MSO-519),May,1963,ability-mso-519-1963-05,http://research.archives.gov/description/7518637,ability-mso-519-1963-05,,
7518638,6,Ability (MSO-519),June,1963,ability-mso-519-1963-06,http://research.archives.gov/description/7518638,ability-mso-519-1963-06,,
7518639,6,Ability (MSO-519),July,1963,ability-mso-519-1963-07,http://research.archives.gov/description/7518639,ability-mso-519-1963-07,,
17271938,6,Ability (MSO-519),August,1963,ability-mso-519-1963-08,http://catalog.archives.gov/id/17271938,ability-mso-519-1963-08,,
7518640,7,Ability (MSO-519),September,1963,ability-mso-519-1963-09,http://research.archives.gov/description/7518640,ability-mso-519-1963-09,,
7518642,7,Ability (MSO-519),October,1963,ability-mso-519-1963-10,http://research.archives.gov/description/7518642,ability-mso-519-1963-10,,
7518643,7,Ability (MSO-519),November,1963,ability-mso-519-1963-11,http://research.archives.gov/description/7518643,ability-mso-519-1963-11,,
7518644,7,Ability (MSO-519),December,1963,ability-mso-519-1963-12,http://research.archives.gov/description/7518644,ability-mso-519-1963-12,,
7518645,7,Ability (MSO-519),January,1964,ability-mso-519-1964-01,http://research.archives.gov/description/7518645,ability-mso-519-1964-01,,
7518646,7,Ability (MSO-519),February,1964,ability-mso-519-1964-02,http://research.archives.gov/description/7518646,ability-mso-519-1964-02,,
7518647,7,Ability (MSO-519),March,1964,ability-mso-519-1964-03,http://research.archives.gov/description/7518647,ability-mso-519-1964-03,,
7518648,7,Ability (MSO-519),April,1964,ability-mso-519-1964-04,http://research.archives.gov/description/7518648,ability-mso-519-1964-04,,
7518649,7,Ability (MSO-519),May,1964,ability-mso-519-1964-05,http://research.archives.gov/description/7518649,ability-mso-519-1964-05,,
7518650,7,Ability (MSO-519),June,1964,ability-mso-519-1964-06,http://research.archives.gov/description/7518650,ability-mso-519-1964-06,,
7518651,7,Ability (MSO-519),July,1964,ability-mso-519-1964-07,http://research.archives.gov/description/7518651,ability-mso-519-1964-07,,
7518652,7,Ability (MSO-519),August,1964,ability-mso-519-1964-08,http://research.archives.gov/description/7518652,ability-mso-519-1964-08,,
7518653,7,Ability (MSO-519),September,1964,ability-mso-519-1964-09,http://research.archives.gov/description/7518653,ability-mso-519-1964-09,,
7518654,7,Ability (MSO-519),October,1964,ability-mso-519-1964-10,http://research.archives.gov/description/7518654,ability-mso-519-1964-10,,
7518655,7,Ability (MSO-519),November,1964,ability-mso-519-1964-11,http://research.archives.gov/description/7518655,ability-mso-519-1964-11,,
7518656,7,Ability (MSO-519),December,1964,ability-mso-519-1964-12,http://research.archives.gov/description/7518656,ability-mso-519-1964-12,,
7518657,8,Ability (MSO-519),January,1965,ability-mso-519-1965-01,http://research.archives.gov/description/7518657,ability-mso-519-1965-01,,
7518658,8,Ability (MSO-519),February,1965,ability-mso-519-1965-02,http://research.archives.gov/description/7518658,ability-mso-519-1965-02,,
7518659,8,Ability (MSO-519),March,1965,ability-mso-519-1965-03,http://research.archives.gov/description/7518659,ability-mso-519-1965-03,,
7518660,8,Ability (MSO-519),April,1965,ability-mso-519-1965-04,http://research.archives.gov/description/7518660,ability-mso-519-1965-04,,
17272005,8,Ability (MSO-519),May,1965,ability-mso-519-1965-05,http://catalog.archives.gov/id/17272005,ability-mso-519-1965-05,,
7518661,8,Ability (MSO-519),June,1965,ability-mso-519-1965-06,http://research.archives.gov/description/7518661,ability-mso-519-1965-06,,
7518662,8,Ability (MSO-519),July,1965,ability-mso-519-1965-07,http://research.archives.gov/description/7518662,ability-mso-519-1965-07,,
7518663,8,Ability (MSO-519),August,1965,ability-mso-519-1965-08,http://research.archives.gov/description/7518663,ability-mso-519-1965-08,,
7518664,8,Ability (MSO-519),September,1965,ability-mso-519-1965-09,http://research.archives.gov/description/7518664,ability-mso-519-1965-09,,
7518665,8,Ability (MSO-519),October,1965,ability-mso-519-1965-10,http://research.archives.gov/description/7518665,ability-mso-519-1965-10,,
7518666,8,Ability (MSO-519),November,1965,ability-mso-519-1965-11,http://research.archives.gov/description/7518666,ability-mso-519-1965-11,,
7518667,8,Ability (MSO-519),December,1965,ability-mso-519-1965-12,http://research.archives.gov/description/7518667,ability-mso-519-1965-12,,
7348806,1,Ability (MSO-519),January,1966,ability-mso-519-1966-01,http://research.archives.gov/description/7348806,ability-mso-519-1966-01,,
7348807,1,Ability (MSO-519),February,1966,ability-mso-519-1966-02,http://research.archives.gov/description/7348807,ability-mso-519-1966-02,,
7348808,1,Ability (MSO-519),March,1966,ability-mso-519-1966-03,http://research.archives.gov/description/7348808,ability-mso-519-1966-03,,
7348809,1,Ability (MSO-519),April,1966,ability-mso-519-1966-04,http://research.archives.gov/description/7348809,ability-mso-519-1966-04,,
7348810,1,Ability (MSO-519),May,1966,ability-mso-519-1966-05,http://research.archives.gov/description/7348810,ability-mso-519-1966-05,,
7348811,1,Ability (MSO-519),June,1966,ability-mso-519-1966-06,http://research.archives.gov/description/7348811,ability-mso-519-1966-06,,
7348812,1,Ability (MSO-519),July,1966,ability-mso-519-1966-07,http://research.archives.gov/description/7348812,ability-mso-519-1966-07,,
7348813,1,Ability (MSO-519),August,1966,ability-mso-519-1966-08,http://research.archives.gov/description/7348813,ability-mso-519-1966-08,,
7348814,1,Ability (MSO-519),September,1966,ability-mso-519-1966-09,http://research.archives.gov/description/7348814,ability-mso-519-1966-09,,
7348815,1,Ability (MSO-519),October,1966,ability-mso-519-1966-10,http://research.archives.gov/description/7348815,ability-mso-519-1966-10,,
7385263,1,Ability (MSO-519),November,1966,ability-mso-519-1966-11,http://research.archives.gov/description/7385263,ability-mso-519-1966-11,,
7348816,1,Ability (MSO-519),December,1966,ability-mso-519-1966-12,http://research.archives.gov/description/7348816,ability-mso-519-1966-12,,
7348817,2,Ability (MSO-519),January,1967,ability-mso-519-1967-01,http://research.archives.gov/description/7348817,ability-mso-519-1967-01,,
7348818,2,Ability (MSO-519),February,1967,ability-mso-519-1967-02,http://research.archives.gov/description/7348818,ability-mso-519-1967-02,,
7348819,2,Ability (MSO-519),March,1967,ability-mso-519-1967-03,http://research.archives.gov/description/7348819,ability-mso-519-1967-03,,
7348820,2,Ability (MSO-519),April,1967,ability-mso-519-1967-04,http://research.archives.gov/description/7348820,ability-mso-519-1967-04,,
7348821,2,Ability (MSO-519),May,1967,ability-mso-519-1967-05,http://research.archives.gov/description/7348821,ability-mso-519-1967-05,,
7348822,2,Ability (MSO-519),June,1967,ability-mso-519-1967-06,http://research.archives.gov/description/7348822,ability-mso-519-1967-06,,
7348823,2,Ability (MSO-519),July,1967,ability-mso-519-1967-07,http://research.archives.gov/description/7348823,ability-mso-519-1967-07,,
7348824,2,Ability (MSO-519),August,1967,ability-mso-519-1967-08,http://research.archives.gov/description/7348824,ability-mso-519-1967-08,,
7348825,2,Ability (MSO-519),September,1967,ability-mso-519-1967-09,http://research.archives.gov/description/7348825,ability-mso-519-1967-09,,
7348826,2,Ability (MSO-519),October,1967,ability-mso-519-1967-10,http://research.archives.gov/description/7348826,ability-mso-519-1967-10,,
7348827,2,Ability (MSO-519),November,1967,ability-mso-519-1967-11,http://research.archives.gov/description/7348827,ability-mso-519-1967-11,,
7348828,2,Ability (MSO-519),December,1967,ability-mso-519-1967-12,http://research.archives.gov/description/7348828,ability-mso-519-1967-12,,
7348829,3,Ability (MSO-519),January,1968,ability-mso-519-1968-01,http://research.archives.gov/description/7348829,ability-mso-519-1968-01,,
7348830,3,Ability (MSO-519),February,1968,ability-mso-519-1968-02,http://research.archives.gov/description/7348830,ability-mso-519-1968-02,,
7348831,3,Ability (MSO-519),March,1968,ability-mso-519-1968-03,http://research.archives.gov/description/7348831,ability-mso-519-1968-03,,
7348832,3,Ability (MSO-519),April,1968,ability-mso-519-1968-04,http://research.archives.gov/description/7348832,ability-mso-519-1968-04,,
7348833,3,Ability (MSO-519),May,1968,ability-mso-519-1968-05,http://research.archives.gov/description/7348833,ability-mso-519-1968-05,,
7348834,3,Ability (MSO-519),June,1968,ability-mso-519-1968-06,http://research.archives.gov/description/7348834,ability-mso-519-1968-06,,
7348835,3,Ability (MSO-519),July,1968,ability-mso-519-1968-07,http://research.archives.gov/description/7348835,ability-mso-519-1968-07,,
7348836,3,Ability (MSO-519),August,1968,ability-mso-519-1968-08,http://research.archives.gov/description/7348836,ability-mso-519-1968-08,,
7348837,3,Ability (MSO-519),September,1968,ability-mso-519-1968-09,http://research.archives.gov/description/7348837,ability-mso-519-1968-09,,
7348838,3,Ability (MSO-519),October,1968,ability-mso-519-1968-10,http://research.archives.gov/description/7348838,ability-mso-519-1968-10,,
7348839,3,Ability (MSO-519),December,1968,ability-mso-519-1968-12,http://research.archives.gov/description/7348839,ability-mso-519-1968-12,,
7348840,4,Ability (MSO-519),January,1969,ability-mso-519-1969-01,http://research.archives.gov/description/7348840,ability-mso-519-1969-01,,
7348841,4,Ability (MSO-519),February,1969,ability-mso-519-1969-02,http://research.archives.gov/description/7348841,ability-mso-519-1969-02,,
7348842,4,Ability (MSO-519),March,1969,ability-mso-519-1969-03,http://research.archives.gov/description/7348842,ability-mso-519-1969-03,,
7348843,4,Ability (MSO-519),April,1969,ability-mso-519-1969-04,http://research.archives.gov/description/7348843,ability-mso-519-1969-04,,
7348844,4,Ability (MSO-519),May,1969,ability-mso-519-1969-05,http://research.archives.gov/description/7348844,ability-mso-519-1969-05,,
7348845,4,Ability (MSO-519),June,1969,ability-mso-519-1969-06,http://research.archives.gov/description/7348845,ability-mso-519-1969-06,,
7348846,4,Ability (MSO-519),July,1969,ability-mso-519-1969-07,http://research.archives.gov/description/7348846,ability-mso-519-1969-07,,
7348847,4,Ability (MSO-519),August,1969,ability-mso-519-1969-08,http://research.archives.gov/description/7348847,ability-mso-519-1969-08,,
7348848,4,Ability (MSO-519),September,1969,ability-mso-519-1969-09,http://research.archives.gov/description/7348848,ability-mso-519-1969-09,,
7348849,4,Ability (MSO-519),October,1969,ability-mso-519-1969-10,http://research.archives.gov/description/7348849,ability-mso-519-1969-10,,
7348850,4,Ability (MSO-519),November,1969,ability-mso-519-1969-11,http://research.archives.gov/description/7348850,ability-mso-519-1969-11,,
7348851,4,Ability (MSO-519),December,1969,ability-mso-519-1969-12,http://research.archives.gov/description/7348851,ability-mso-519-1969-12,,
7348852,5,Ability (MSO-519),January,1970,ability-mso-519-1970-01,http://research.archives.gov/description/7348852,ability-mso-519-1970-01,,
7348853,5,Ability (MSO-519),February,1970,ability-mso-519-1970-02,http://research.archives.gov/description/7348853,ability-mso-519-1970-02,,
7348854,5,Ability (MSO-519),March,1970,ability-mso-519-1970-03,http://research.archives.gov/description/7348854,ability-mso-519-1970-03,,
7348855,5,Ability (MSO-519),April,1970,ability-mso-519-1970-04,http://research.archives.gov/description/7348855,ability-mso-519-1970-04,,
7348856,5,Ability (MSO-519),May,1970,ability-mso-519-1970-05,http://research.archives.gov/description/7348856,ability-mso-519-1970-05,,
7348857,5,Ability (MSO-519),June,1970,ability-mso-519-1970-06,http://research.archives.gov/description/7348857,ability-mso-519-1970-06,,
7518668,9,Abnaki (ATF-96),January,1961,abnaki-atf-96-1961-01,http://research.archives.gov/description/7518668,abnaki-atf-96-1961-01,,
7518669,9,Abnaki (ATF-96),February,1961,abnaki-atf-96-1961-02,http://research.archives.gov/description/7518669,abnaki-atf-96-1961-02,,
7518670,9,Abnaki (ATF-96),March,1961,abnaki-atf-96-1961-03,http://research.archives.gov/description/7518670,abnaki-atf-96-1961-03,,
7518671,9,Abnaki (ATF-96),April,1961,abnaki-atf-96-1961-04,http://research.archives.gov/description/7518671,abnaki-atf-96-1961-04,,
7518672,9,Abnaki (ATF-96),May,1961,abnaki-atf-96-1961-05,http://research.archives.gov/description/7518672,abnaki-atf-96-1961-05,,
7518673,9,Abnaki (ATF-96),June,1961,abnaki-atf-96-1961-06,http://research.archives.gov/description/7518673,abnaki-atf-96-1961-06,,
7518674,9,Abnaki (ATF-96),July,1961,abnaki-atf-96-1961-07,http://research.archives.gov/description/7518674,abnaki-atf-96-1961-07,,
7518675,9,Abnaki (ATF-96),August,1961,abnaki-atf-96-1961-08,http://research.archives.gov/description/7518675,abnaki-atf-96-1961-08,,
17272072,9,Abnaki (ATF-96),September,1961,abnaki-atf-96-1961-09,http://catalog.archives.gov/id/17272072,abnaki-atf-96-1961-09,,
7518676,9,Abnaki (ATF-96),October,1961,abnaki-atf-96-1961-10,http://research.archives.gov/description/7518676,abnaki-atf-96-1961-10,,
7518677,9,Abnaki (ATF-96),November,1961,abnaki-atf-96-1961-11,http://research.archives.gov/description/7518677,abnaki-atf-96-1961-11,,
7518678,9,Abnaki (ATF-96),December,1961,abnaki-atf-96-1961-12,http://research.archives.gov/description/7518678,abnaki-atf-96-1961-12,,
7518679,10,Abnaki (ATF-96),January,1962,abnaki-atf-96-1962-01,http://research.archives.gov/description/7518679,abnaki-atf-96-1962-01,,
7518680,10,Abnaki (ATF-96),February,1962,abnaki-atf-96-1962-02,http://research.archives.gov/description/7518680,abnaki-atf-96-1962-02,,
7518681,10,Abnaki (ATF-96),March,1962,abnaki-atf-96-1962-03,http://research.archives.gov/description/7518681,abnaki-atf-96-1962-03,,
7518682,10,Abnaki (ATF-96),April,1962,abnaki-atf-96-1962-04,http://research.archives.gov/description/7518682,abnaki-atf-96-1962-04,,
7518683,10,Abnaki (ATF-96),May,1962,abnaki-atf-96-1962-05,http://research.archives.gov/description/7518683,abnaki-atf-96-1962-05,,
7518684,10,Abnaki (ATF-96),June,1962,abnaki-atf-96-1962-06,http://research.archives.gov/description/7518684,abnaki-atf-96-1962-06,,
7518685,10,Abnaki (ATF-96),July,1962,abnaki-atf-96-1962-07,http://research.archives.gov/description/7518685,abnaki-atf-96-1962-07,,
7518686,10,Abnaki (ATF-96),August,1962,abnaki-atf-96-1962-08,http://research.archives.gov/description/7518686,abnaki-atf-96-1962-08,,
7518687,10,Abnaki (ATF-96),September,1962,abnaki-atf-96-1962-09,http://research.archives.gov/description/7518687,abnaki-atf-96-1962-09,,
7518688,10,Abnaki (ATF-96),October,1962,abnaki-atf-96-1962-10,http://research.archives.gov/description/7518688,abnaki-atf-96-1962-10,,
7518689,10,Abnaki (ATF-96),November,1962,abnaki-atf-96-1962-11,http://research.archives.gov/description/7518689,abnaki-atf-96-1962-11,,
7518690,10,Abnaki (ATF-96),December,1962,abnaki-atf-96-1962-12,http://research.archives.gov/description/7518690,abnaki-atf-96-1962-12,,
7518691,11,Abnaki (ATF-96),January,1963,abnaki-atf-96-1963-01,http://research.archives.gov/description/7518691,abnaki-atf-96-1963-01,,
7518692,11,Abnaki (ATF-96),February,1963,abnaki-atf-96-1963-02,http://research.archives.gov/description/7518692,abnaki-atf-96-1963-02,,
7518693,11,Abnaki (ATF-96),March,1963,abnaki-atf-96-1963-03,http://research.archives.gov/description/7518693,abnaki-atf-96-1963-03,,
7518694,11,Abnaki (ATF-96),April,1963,abnaki-atf-96-1963-04,http://research.archives.gov/description/7518694,abnaki-atf-96-1963-04,,
17272141,11,Abnaki (ATF-96),May,1963,abnaki-atf-96-1963-05,http://catalog.archives.gov/id/17272141,abnaki-atf-96-1963-05,,
7518695,11,Abnaki (ATF-96),July,1963,abnaki-atf-96-1963-07,http://research.archives.gov/description/7518695,abnaki-atf-96-1963-07,,
7518696,11,Abnaki (ATF-96),August,1963,abnaki-atf-96-1963-08,http://research.archives.gov/description/7518696,abnaki-atf-96-1963-08,,
7518697,11,Abnaki (ATF-96),October,1963,abnaki-atf-96-1963-10,http://research.archives.gov/description/7518697,abnaki-atf-96-1963-10,,
7518698,11,Abnaki (ATF-96),November,1963,abnaki-atf-96-1963-11,http://research.archives.gov/description/7518698,abnaki-atf-96-1963-11,,
7518699,11,Abnaki (ATF-96),December,1963,abnaki-atf-96-1963-12,http://research.archives.gov/description/7518699,abnaki-atf-96-1963-12,,
7518700,12,Abnaki (ATF-96),January,1964,abnaki-atf-96-1964-01,http://research.archives.gov/description/7518700,abnaki-atf-96-1964-01,,
7518701,12,Abnaki (ATF-96),February,1964,abnaki-atf-96-1964-02,http://research.archives.gov/description/7518701,abnaki-atf-96-1964-02,,
7518702,12,Abnaki (ATF-96),March,1964,abnaki-atf-96-1964-03,http://research.archives.gov/description/7518702,abnaki-atf-96-1964-03,,
7518703,12,Abnaki (ATF-96),April,1964,abnaki-atf-96-1964-04,http://research.archives.gov/description/7518703,abnaki-atf-96-1964-04,,
7518704,12,Abnaki (ATF-96),May,1964,abnaki-atf-96-1964-05,http://research.archives.gov/description/7518704,abnaki-atf-96-1964-05,,
7518705,12,Abnaki (ATF-96),June,1964,abnaki-atf-96-1964-06,http://research.archives.gov/description/7518705,abnaki-atf-96-1964-06,,
7518706,12,Abnaki (ATF-96),July,1964,abnaki-atf-96-1964-07,http://research.archives.gov/description/7518706,abnaki-atf-96-1964-07,,
7518708,12,Abnaki (ATF-96),August,1964,abnaki-atf-96-1964-08,http://research.archives.gov/description/7518708,abnaki-atf-96-1964-08,,
7518709,12,Abnaki (ATF-96),September,1964,abnaki-atf-96-1964-09,http://research.archives.gov/description/7518709,abnaki-atf-96-1964-09,,
7518710,12,Abnaki (ATF-96),November,1964,abnaki-atf-96-1964-11,http://research.archives.gov/description/7518710,abnaki-atf-96-1964-11,,
